Date,Users
1/1/13,90000
1/2/13,144000
1/3/13,132000
1/4/13,130000
1/5/13,83000
1/6/13,100000
1/7/13,106000
1/8/13,106000
1/9/13,128000
1/10/13,129000
1/11/13,128000
1/12/13,150000
1/13/13,119000
1/14/13,117000
1/15/13,123000
1/16/13,104000
1/17/13,137000
1/18/13,109000
1/19/13,116000
1/20/13,94000
1/21/13,99000
1/22/13,94000
1/23/13,137000
1/24/13,106000
1/25/13,134000
1/26/13,124000
1/27/13,78000
1/28/13,87000
1/29/13,139000
1/30/13,122000
1/31/13,130000
2/1/13,160000
2/2/13,102000
2/3/13,114000
2/4/13,104000
2/5/13,108000
2/6/13,110000
2/7/13,114000
2/8/13,121000
2/9/13,111000
2/10/13,114000
2/11/13,103000
2/12/13,90000
2/13/13,113000
2/14/13,153000
2/15/13,132000
2/16/13,96000
2/17/13,111000
2/18/13,122000
2/19/13,152000
2/20/13,130000
2/21/13,132000
2/22/13,135000
2/23/13,111000
2/24/13,98000
2/25/13,111000
2/26/13,110000
2/27/13,106000
2/28/13,121000
3/1/13,132000
3/2/13,71000
3/3/13,96000
3/4/13,103000
3/5/13,89000
3/6/13,116000
3/7/13,141000
3/8/13,108000
3/9/13,115000
3/10/13,100000
3/11/13,105000
3/12/13,96000
3/13/13,105000
3/14/13,128000
3/15/13,148000
3/16/13,117000
3/17/13,94000
3/18/13,109000
3/19/13,103000
3/20/13,115000
3/21/13,115000
3/22/13,135000
3/23/13,124000
3/24/13,111000
3/25/13,121000
3/26/13,100000
3/27/13,99000
3/28/13,112000
3/29/13,126000
3/30/13,107000
3/31/13,81000
4/1/13,97000
4/2/13,100000
4/3/13,107000
4/4/13,119000
4/5/13,103000
4/6/13,105000
4/7/13,107000
4/8/13,109000
4/9/13,98000
4/10/13,108000
4/11/13,107000
4/12/13,113000
4/13/13,133000
4/14/13,113000
4/15/13,135000
4/16/13,125000
4/17/13,165000
4/18/13,146000
4/19/13,144000
4/20/13,124000
4/21/13,97000
4/22/13,129000
4/23/13,113000
4/24/13,116000
4/25/13,99000
4/26/13,98000
4/27/13,94000
4/28/13,113000
4/29/13,141000
4/30/13,123000
5/1/13,103000
5/2/13,145000
5/3/13,143000
5/4/13,123000
5/5/13,99000
5/6/13,123000
5/7/13,134000
5/8/13,117000
5/9/13,124000
5/10/13,122000
5/11/13,111000
5/12/13,99000
5/13/13,104000
5/14/13,111000
5/15/13,113000
5/16/13,119000
5/17/13,117000
5/18/13,109000
5/19/13,88000
5/20/13,104000
5/21/13,95000
5/22/13,94000
5/23/13,110000
5/24/13,111000
5/25/13,112000
5/26/13,93000
5/27/13,91000
5/28/13,93000
5/29/13,90000
5/30/13,96000
5/31/13,100000
6/1/13,101000
6/2/13,92000
6/3/13,113000
6/4/13,92000
6/5/13,111000
6/6/13,133000
6/7/13,114000
6/8/13,92000
6/9/13,135000
6/10/13,111000
6/11/13,102000
6/12/13,89000
6/13/13,87000
6/14/13,113000
6/15/13,88000
6/16/13,78000
6/17/13,84000
6/18/13,79000
6/19/13,97000
6/20/13,109000
6/21/13,97000
6/22/13,77000
6/23/13,108000
6/24/13,110000
6/25/13,120000
6/26/13,114000
6/27/13,122000
6/28/13,127000
6/29/13,94000
6/30/13,94000
7/1/13,90000
7/2/13,105000
7/3/13,93000
7/4/13,93000
7/5/13,103000
7/6/13,95000
7/7/13,93000
7/8/13,92000
7/9/13,95000
7/10/13,92000
7/11/13,99000
7/12/13,140000
7/13/13,105000
7/14/13,112000
7/15/13,93000
7/16/13,98000
7/17/13,112000
7/18/13,123000
7/19/13,114000
7/20/13,112000
7/21/13,91000
7/22/13,117000
7/23/13,109000
7/24/13,119000
7/25/13,101000
7/26/13,139000
7/27/13,105000
7/28/13,101000
7/29/13,127000
7/30/13,143000
7/31/13,114000
8/1/13,131000
8/2/13,145000
8/3/13,121000
8/4/13,100000
8/5/13,117000
8/6/13,147000
8/7/13,134000
8/8/13,163000
8/9/13,143000
8/10/13,138000
8/11/13,130000
8/12/13,135000
8/13/13,142000
8/14/13,134000
8/15/13,165000
8/16/13,152000
8/17/13,106000
8/18/13,139000
8/19/13,115000
8/20/13,101000
8/21/13,96000
8/22/13,131000
8/23/13,141000
